Project Name,Repository,Proposal Issue,Project Lead(Github),Project Lead(Discord)
aiotnb - Python network library,https://github.com/AnonymousDapper/aiotnb,https://github.com/thenewboston-developers/Projects/issues/215,https://github.com/AnonymousDapper,AnonymousDapper#7467
Automated Freelancing Service,N/A,https://github.com/thenewboston-developers/Projects/issues/178,https://github.com/Kycermann,Pixel#5000
Blockchain Explorer,https://github.com/open-blockchain-explorer,https://github.com/thenewboston-developers/Project-Proposals/issues/23,https://github.com/itsnikhil,itsNikhil#0844
Hierarchical deterministic (HD) Wallets for TNB,https://github.com/tomijaga/Tnb-HD-Wallet,https://github.com/thenewboston-developers/Projects/issues/198,https://github.com/tomijaga,Tomi#8409
Keysign,https://github.com/Keysign-Wallet,https://github.com/thenewboston-developers/Project-Proposals/issues/6,https://github.com/mrbusysky,MrSky#5242
Kotlin Multiplaform Mobile SDK,https://github.com/thenewboston-developers/Kotlin-SDK,https://github.com/thenewboston-developers/Projects/issues/169,https://github.com/IanArb,Ian Arbuckle#7689
Restaurants-Self-Order-App,https://github.com/Restaurants-Self-Order,https://github.com/thenewboston-developers/Project-Proposals/issues/26,https://github.com/yaya-BL,Yahya#2796
Tnb Discord bot,https://github.com/Keysign-Wallet/TNB-BOT,https://github.com/thenewboston-developers/Project-Proposals/issues/143,https://github.com/mrbusysky,MrSky#5242
TNB Discord Security,N/A,https://github.com/thenewboston-developers/Projects/issues/231,https://github.com/Kycermann,Pixel#5000
TNB Discord Shop,https://github.com/Kycermann/TNB-Shop,https://github.com/thenewboston-developers/Projects/issues/222,https://github.com/Kycermann,Pixel#5000
TNB Donation,https://github.com/suppCoins,https://github.com/thenewboston-developers/Projects/issues/193,https://github.com/Toledit,7oledit#8388
TNB forum,https://github.com/arun-nalla/tnbforum,https://github.com/thenewboston-developers/Project-Proposals/issues/17,https://github.com/avinashupadhya99,avinashupadhyaya#4664
TNB Hereos,N/A,https://github.com/thenewboston-developers/Projects/issues/217,https://github.com/Kycermann,Pixel#5000
TNB List,https://github.com/TNB-List,https://github.com/thenewboston-developers/Projects/issues/170,https://github.com/avinashupadhya99,avinashupadhyaya#4664
TNB Minecraft Integration,N/A,https://github.com/thenewboston-developers/Projects/issues/206,https://github.com/Kycermann,Pixel#5000
TNB MMORPG,https://github.com/TNB-MMO,https://github.com/thenewboston-developers/Project-Proposals/issues/108,https://github.com/mrbusysky,MrSky#5242
TNB-FAUCET,https://github.com/TNBFAUCET,https://github.com/thenewboston-developers/Project-Proposals/issues/141,https://github.com/mrbusysky,MrSky#5242
TNBAnon,https://github.com/picko1990/tnbanon,https://github.com/thenewboston-developers/Projects/issues/201,https://github.com/picko1990,picko1990#6172
tnbc Paper Wallet,https://github.com/hussu010/tnbcpaperwallet,https://github.com/thenewboston-developers/Projects/issues/244,https://github.com/hussu010,hussu#9966
TNBC Treasure Hunt,N/A,https://github.com/thenewboston-developers/Projects/issues/190,https://github.com/denistsoi,wakawaka#9513
tnbeverything.com,https://github.com/stweyel/tnbuser.com-tnbeverything.com,https://github.com/thenewboston-developers/Projects/issues/167,https://github.com/stweyel,stw#0279
tnbGo,https://github.com/AbhayAysola/tnb-go,https://github.com/thenewboston-developers/Projects/issues/212,https://github.com/AbhayAysola,Abhay#6969
TNBpay,https://github.com/akandejaphet/TNBPay,https://github.com/thenewboston-developers/Projects/issues/172,https://github.com/olowudaniel1,Weird Guy#6773
